,cpu_load,gpu_load
650,0.3013742499636442,0.729091432961967
651,0.30105337034250346,0.7304360353438341
652,0.3007324907213627,0.7292835190165194
653,0.30127466663294533,0.7337975412985017
654,0.30105811240587005,0.7327410679984633
655,0.30151809255243145,0.7361025739531311
656,0.3026166705656966,0.7444583173261622
657,0.31569053926744606,0.780666538609297
658,0.32976182196397297,0.8236938148290434
659,0.33363292635891734,0.8431905493661159
660,0.3277069278384411,0.8304168267383787
661,0.3325643814136407,0.8396369573568958
662,0.34282778722677815,0.8759796388782175
663,0.33835760215985183,0.8559066461774876
664,0.3456493149299123,0.8837111025739532
665,0.3511026878015162,0.8934594698424895
666,0.34042198041211696,0.8563004225893199
667,0.34069543939959157,0.8770457164809834
668,0.3421718017943968,0.8834325777948521
669,0.34563192736423476,0.9030253553592008
670,0.3441729525351071,0.8938052247406838
671,0.3507723240536422,0.92184978870534
672,0.31139865578310433,0.7815213215520553
673,0.3040863940717885,0.7442566269688822
674,0.3040105210579227,0.7432577794852094
675,0.30390145360049065,0.7432001536688436
676,0.3039425514830013,0.7419515943142527
677,0.30339721419584087,0.7400307337687284
678,0.30455743903287197,0.7444487130234345
679,0.3047060236850258,0.7456588551671148
680,0.30849019025158225,0.7668843641951595
681,0.3147101967007884,0.7847003457548983
682,0.3213712150430896,0.826046868997311
683,0.3242433247554676,0.8576930464848251
684,0.33445772924715,0.8654725316941991
685,0.3286613471253612,0.8550998847483674
686,0.3283815653867311,0.8575009604302727
687,0.33130741848393075,0.8674894352669995
688,0.34247813908787994,0.9165674222051479
689,0.34241649226411397,0.8953899346907414
690,0.33569698847362467,0.8720034575489819
691,0.33414317237716473,0.8615347675758739
692,0.33824189581370645,0.8725797157126391
693,0.3426678216225444,0.8864099116404148
694,0.3399664261913644,0.8890414905877834
695,0.33904014314708614,0.8943238570879755
696,0.3229329345784938,0.827669996158279
697,0.31630985274312556,0.8089896273530542
698,0.3045274059648834,0.7533422973492125
699,0.30248357665387365,0.7428255858624665
700,0.3024978028439735,0.7431137149442951
701,0.3027459708268262,0.7442662312716097
702,0.30270013088094894,0.7444583173261622
703,0.3028423927819473,0.7446504033807145
704,0.30416542846123207,0.7578082981175568
705,0.3038398067767247,0.7545428351901653
706,0.30578405275703563,0.7639550518632349
707,0.3113954944075266,0.7792258932001538
708,0.309789515614034,0.7748079139454477
709,0.30852496538293744,0.7748079139454477
710,0.30808553417763135,0.7712543219362276
711,0.31218583830196195,0.7829715712639264
712,0.34360516948134473,0.8781502112946601
713,0.34543718662864586,0.8853534383403766
714,0.34558260990522194,0.8886189012677681
715,0.3441710557097604,0.8694102958125242
716,0.3448254604543529,0.8712351133307723
717,0.34451090358436764,0.8708509412216674
718,0.34291915098097486,0.8640318862850558
719,0.34437654512231364,0.8724836726853632
720,0.2871840995453942,0.6943238570879755
721,0.28794757174741875,0.695380330388014
722,0.28636688395854804,0.686256242796773
723,0.28679208897375424,0.6890414905877833
724,0.2871461630384613,0.6916346523242413
725,0.287650402443111,0.694515943142528
726,0.2874101378992027,0.692787168651556
727,0.28690431780676406,0.6918267383787938
728,0.28811986671640566,0.7012389550518633
729,0.29501324616367075,0.7205436035343835
730,0.3030889800770111,0.744362274298886
731,0.3046633451147263,0.7489723396081446
732,0.29730524345753323,0.7298597771801768
733,0.2966856138442959,0.7267864003073378
734,0.29698594452418137,0.7264982712255091
735,0.3351168760551091,0.833970418747599
736,0.33458102289468195,0.8347387629658086
737,0.3631045340448536,0.966029581252401
738,0.31152194943063627,0.8013157894736841
739,0.30738370879937277,0.779802151363811
740,0.30151777641487365,0.7716384940453324
741,0.30664868897754793,0.7911352285824048
742,0.3450262078035395,0.896974644640799
743,0.32138227985761164,0.8340664617748751
744,0.29457539564615354,0.7238666922781406
745,0.27993664603342205,0.6738282750672301
746,0.2798860640241782,0.6944775259316174
747,0.2791542055779311,0.6895793315405301
