,cpu_load
0,0.28753058630871464
1,0.2890828217173857
2,0.2344779620508476
3,0.23475616310168881
4,0.2366071485024564
5,0.2377088878912993
6,0.24017159946635983
7,0.24085129521557422
8,0.2428477038929179
9,0.24572455566866255
10,0.2553635898051961
11,0.2573758053604284
12,0.2569711492864776
13,0.25738212811158395
14,0.2641332456578507
15,0.27421013031190133
16,0.2849603879640109
17,0.2758255932321272
18,0.273174779810191
19,0.27596627444533667
20,0.2753988075291321
21,0.2732743631408899
22,0.2760674384638244
23,0.2785143431609962
24,0.2526716785007493
25,0.25152409916602914
26,0.2508333386022926
27,0.2517374920175267
28,0.2511067975897673
29,0.25295304092716825
30,0.25391726047837937
31,0.2542713345430864
32,0.25705808711486544
33,0.25788510296600253
34,0.25856385030254364
35,0.2673610101227246
36,0.2696520590039138
37,0.27005797962809575
38,0.274336585335011
39,0.28275090257272745
40,0.28110066452114646
41,0.27901415663983714
42,0.28238892506907604
43,0.27659728501065384
44,0.27707939478625937
45,0.27925442118374544
46,0.27927180874942303
47,0.28214549914959
48,0.2724950840609766
49,0.273089422669592
50,0.26931157885419105
51,0.26944435662845617
52,0.2697529068848437
53,0.2710933301298061
54,0.272231425337793
55,0.275885975505662
56,0.2799151486794934
57,0.2825754462281628
58,0.28745977149577323
59,0.33428606655327864
60,0.3540193729095404
61,0.3253678260484702
62,0.32642688686701354
63,0.3264411130571134
64,0.3295313576843556
65,0.32779734317996445
66,0.32762030614761095
67,0.3293337717107468
68,0.3291646381173376
69,0.3316889965161641
70,0.33797697254029174
71,0.344745477652236
72,0.26805335137424996
73,0.26609645989162806
74,0.26516385409619436
75,0.26627033554840385
76,0.26574870857807653
77,0.26631775618207
78,0.2678099254547639
79,0.2680944492567606
80,0.26994701534531707
81,0.2683931992488572
82,0.2760709159769599
83,0.2889411920915028
84,0.2830164581212577
85,0.2841023906322119
86,0.2897280584728027
87,0.2887401286047585
88,0.2939484948690874
89,0.34872406881682355
90,0.3969050133093912
91,0.39749302916685114
92,0.3935760848260295
93,0.3381287185680233
94,0.3908604632047497
95,0.3367867146352721
96,0.2850255123009124
97,0.27431951390689113
98,0.2701101423251285
99,0.2666911146378012
100,0.26209289385997636
101,0.2600933238070549
102,0.25909274843669977
103,0.2573982511270304
104,0.2574219614438634
105,0.26126777483418584
106,0.2767189979703969
107,0.2817613920168944
108,0.2794156513382103
109,0.28953047249919384
110,0.3357055241876845
111,0.3389870320373801
112,0.3430162052112115
113,0.3448750940509234
114,0.3427079710923817
115,0.2888634222522904
116,0.2933320266314279
117,0.2881679196251873
118,0.28901832965559976
119,0.2770367162159599
